STATE,STATION,DATE,REPORT_TYPE,SOURCE,STATION.LATITUDE,STATION.LONGITUDE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE.1,SOURCE.1,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
Colorado,DENVER,1/22/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,17,42,40,29.84,24.47,31,8.9,0,11.2,23,54,30,360,26,0,0,0,20,21,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5424 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE:24.470 MINIMUM SEA LEVEL PRESSURE:29.73 TIME OF OCCURRENCE:0108 PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):360 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG): 20 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.9 24 HR AVG TEMP (F): 42DEPART FROM NORMAL: 11  HEATING DEGREE DAYS: 23 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):54  LATEST NIGHT MIN TEMP(1900-0800 LST):33 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,715,1706,NA,9/12/2005
Colorado,DENVER,1/23/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,12,35,42,30.1,24.65,26,9.6,0,4.2,30,42,27,360,26,0,0,0,350,20,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4224 HR MIN TEMP (F): 27AVERAGE STATION PRESSURE:24.645 MINIMUM SEA LEVEL PRESSURE:30.00 TIME OF OCCURRENCE:0001 PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):360 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.6 24 HR AVG TEMP (F): 35DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 30 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):42  LATEST NIGHT MIN TEMP(1900-0800 LST):27 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,714,1707,NA,9/12/2005
Colorado,DENVER,1/24/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,16,38,45,29.98,24.54,29,7.6,0,7.2,27,57,19,170,19,0,0,0,170,15,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5724 HR MIN TEMP (F): 19AVERAGE STATION PRESSURE:24.535 MINIMUM SEA LEVEL PRESSURE:29.86 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 19 PEAK WIND DIR (DEG):170 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):170 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.6 24 HR AVG TEMP (F): 38DEPART FROM NORMAL:  7  HEATING DEGREE DAYS: 27 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):57  LATEST NIGHT MIN TEMP(1900-0800 LST):19 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,714,1709,NA,9/12/2005
Colorado,DENVER,1/25/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,18,42,44,29.95,24.56,31,7.1,0,11.2,23,54,30,300,19,0,0,0,160,14,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5424 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE:24.560 MINIMUM SEA LEVEL PRESSURE:29.84 TIME OF OCCURRENCE:0154 PEAK WIND SPEED (MPH): 19 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG):160 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.1 24 HR AVG TEMP (F): 42DEPART FROM NORMAL: 11  HEATING DEGREE DAYS: 23 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):54  LATEST NIGHT MIN TEMP(1900-0800 LST):30 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,713,1710,NA,9/12/2005
Colorado,DENVER,1/26/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,18,38,45,29.98,24.56,31,8.9,0,7.2,27,53,23,110,22,0,0,0,210,14,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5324 HR MIN TEMP (F): 23AVERAGE STATION PRESSURE:24.560 MINIMUM SEA LEVEL PRESSURE:29.88 TIME OF OCCURRENCE:2237 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):110 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.9 24 HR AVG TEMP (F): 38DEPART FROM NORMAL:  7  HEATING DEGREE DAYS: 27 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):53  LATEST NIGHT MIN TEMP(1900-0800 LST):23 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,712,1711,NA,9/12/2005
Colorado,DENVER,1/27/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,26,33,76,29.95,24.53,31,6.2,0,2.2,32,41,24,260,16,0.13,0,0.5,260,13,SN FG BR,NA,NA,NA,NA,NA,SOD75624 HR PRECIPITATION (IN): 0.13 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.5  WEATHER(CODE):1  24 HR MAX TEMP (F): 4124 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE:24.530 MINIMUM SEA LEVEL PRESSURE:29.86 TIME OF OCCURRENCE:0352 PEAK WIND SPEED (MPH): 16 PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):260 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.2 24 HR AVG TEMP (F): 33DEPART FROM NORMAL:  2  HEATING DEGREE DAYS: 32 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):41  LATEST NIGHT MIN TEMP(1900-0800 LST):24 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    0.01 0.03 0.09 T    0.00 0.00 0.00 0.00 0.00,SOD  ,6,711,1712,NA,9/12/2005
Colorado,DENVER,1/28/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,19,32,63,30.09,24.6,26,7.6,0,1.2,33,41,22,110,17,0,T,0,160,13,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):T     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4124 HR MIN TEMP (F): 22AVERAGE STATION PRESSURE:24.605 MINIMUM SEA LEVEL PRESSURE:30.00 TIME OF OCCURRENCE:1545 PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):110 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):160 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.6 24 HR AVG TEMP (F): 32DEPART FROM NORMAL:  1  HEATING DEGREE DAYS: 33 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):41  LATEST NIGHT MIN TEMP(1900-0800 LST):24 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,711,1713,NA,9/12/2005
Colorado,DENVER,1/29/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,25,33,72,30.06,24.59,30,6.7,0,2.2,32,41,24,140,17,T,0,T,150,13,SN,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):T    24 HR MAX TEMP (F): 4124 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE:24.590 MINIMUM SEA LEVEL PRESSURE:30.00 TIME OF OCCURRENCE:0350 PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):140 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):150 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.7 24 HR AVG TEMP (F): 33DEPART FROM NORMAL:  2  HEATING DEGREE DAYS: 32 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):41  LATEST NIGHT MIN TEMP(1900-0800 LST):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    T    T    0.00,SOD  ,6,710,1715,NA,9/12/2005
Colorado,DENVER,1/30/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,NA,30,NA,NA,24.59,NA,12.4,0,-0.8,35,40,20,360,50,0.01,0,0.4,360,37,SN FG FZFG BR,NA,NA,NA,NA,NA,SOD75624 HR PRECIPITATION (IN): 0.01 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.4  WEATHER(CODE):1  24 HR MAX TEMP (F): 4024 HR MIN TEMP (F): 20AVERAGE STATION PRESSURE:24.590 MINIMUM SEA LEVEL PRESSURE:29.93 TIME OF OCCURRENCE:0816 PEAK WIND SPEED (MPH): 50 PEAK WIND DIR (DEG):360 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 37FASTEST 2MIN DIR (DEG):360 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.4 24 HR AVG TEMP (F): 30DEPART FROM NORMAL: -1  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):40  LATEST NIGHT MIN TEMP(1900-0800 LST):20 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.01 T    T    T    0.00 0.00 0.00,SOD  ,6,709,1716,NA,9/12/2005
Colorado,DENVER,1/31/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,NA,37,NA,NA,24.65,NA,10.3,0,6.2,28,53,20,210,22,0,0,0,210,20,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5324 HR MIN TEMP (F): 20AVERAGE STATION PRESSURE:24.655 MINIMUM SEA LEVEL PRESSURE:30.03 TIME OF OCCURRENCE:1229 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.3 24 HR AVG TEMP (F): 37DEPART FROM NORMAL:  6  HEATING DEGREE DAYS: 28 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):53  LATEST NIGHT MIN TEMP(1900-0800 LST):20 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,708,1717,NA,9/12/2005
Colorado,DENVER,2/1/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,13,51,27,30.04,24.66,36,15.5,0,20.2,14,67,34,280,39,0,0,0,270,29,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 6724 HR MIN TEMP (F): 34AVERAGE STATION PRESSURE:24.660 MINIMUM SEA LEVEL PRESSURE:29.96 TIME OF OCCURRENCE:2335 PEAK WIND SPEED (MPH): 39 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 29FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):15.5 24 HR AVG TEMP (F): 51DEPART FROM NORMAL: 20  HEATING DEGREE DAYS: 14 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):67  LATEST NIGHT MIN TEMP(1900-0800 LST):30 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,707,1718,NA,9/12/2005
Colorado,DENVER,2/2/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,7,52,20,29.66,24.37,36,20.3,0,21.2,13,74,29,210,39,0,0,0,210,32,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 7424 HR MIN TEMP (F): 29AVERAGE STATION PRESSURE:24.375 MINIMUM SEA LEVEL PRESSURE:29.36 TIME OF OCCURRENCE:2109 PEAK WIND SPEED (MPH): 39 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 32FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):20.3 24 HR AVG TEMP (F): 52DEPART FROM NORMAL: 21  HEATING DEGREE DAYS: 13 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):74  LATEST NIGHT MIN TEMP(1900-0800 LST):42 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,706,1719,NA,9/12/2005
Colorado,DENVER,2/3/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,17,21,89,29.78,24.36,19,12.8,0,-9.9,44,30,12,70,28,0.07,0,2.5,80,23,FZDZ SN BR RA,NA,NA,NA,NA,NA,SOD78124 HR PRECIPITATION (IN): 0.07 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):2.5  WEATHER(CODE):16  24 HR MAX TEMP (F): 3024 HR MIN TEMP (F): 12AVERAGE STATION PRESSURE:24.360 MINIMUM SEA LEVEL PRESSURE:29.56 TIME OF OCCURRENCE:0438 PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG): 70 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 23FASTEST 2MIN DIR (DEG): 80 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.8 24 HR AVG TEMP (F): 21DEPART FROM NORMAL:-10  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 44 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):22  LATEST NIGHT MIN TEMP(1900-0800 LST):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 T    T    T    T    T    T    T    T    T    T    T    T    T    T    T    T    0.01 T    0.01 0.04 0.01 T    T,SOD  ,6,705,1720,NA,9/12/2005
Colorado,DENVER,2/4/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,6,6,85,30.19,24.57,9,5.9,0,-24.9,59,17,-5,60,12,0.05,2,0.3,170,12,SN BR HZ,NA,NA,NA,NA,NA,SOD75724 HR PRECIPITATION (IN): 0.05 SNOW DEPTH (IN):2     24 HR SNOWFALL (IN):0.3  WEATHER(CODE):18  24 HR MAX TEMP (F): 1724 HR MIN TEMP (F): -5AVERAGE STATION PRESSURE:24.575 MINIMUM SEA LEVEL PRESSURE:30.05 TIME OF OCCURRENCE:0010 PEAK WIND SPEED (MPH): 12 PEAK WIND DIR (DEG): 60 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 12FASTEST 2MIN DIR (DEG):170 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.9 24 HR AVG TEMP (F):  6DEPART FROM NORMAL:-25  HEATING DEGREE DAYS: 59 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):17  LATEST NIGHT MIN TEMP(1900-0800 LST):7  HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    T    T    T    T    0.01 0.01 T    0.01 T    0.01 0.01 T    0.00 T    T    0.00 T    T    T    0.00 0.00 0.00 0.00,SOD  ,6,704,1722,NA,9/12/2005
Colorado,DENVER,2/5/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,2,11,67,30,24.38,9,7.7,0,-20,54,26,-5,180,20,0,1,0,190,17,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):1     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 2624 HR MIN TEMP (F): -5AVERAGE STATION PRESSURE:24.380 MINIMUM SEA LEVEL PRESSURE:29.80 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):180 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):190 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.7 24 HR AVG TEMP (F): 11DEPART FROM NORMAL:-20  HEATING DEGREE DAYS: 54 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):26  LATEST NIGHT MIN TEMP(1900-0800 LST):-5 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,703,1723,NA,9/12/2005
Colorado,DENVER,2/6/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,17,27,67,29.69,24.25,24,10.6,0,-4,38,37,16,20,33,0.15,1,3,20,26,SN FZFG BR FG,NA,NA,NA,NA,NA,SOD75324 HR PRECIPITATION (IN): 0.15 SNOW DEPTH (IN):1     24 HR SNOWFALL (IN):3.0  WEATHER(CODE):1  24 HR MAX TEMP (F): 3724 HR MIN TEMP (F): 16AVERAGE STATION PRESSURE:24.250 MINIMUM SEA LEVEL PRESSURE:29.57 TIME OF OCCURRENCE:1354 PEAK WIND SPEED (MPH): 33 PEAK WIND DIR (DEG): 20 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 26FASTEST 2MIN DIR (DEG): 20 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.6 24 HR AVG TEMP (F): 27DEPART FROM NORMAL: -4  HEATING DEGREE DAYS: 38 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):37  LATEST NIGHT MIN TEMP(1900-0800 LST):15 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.02 0.06 0.03 T    0.04 T,SOD  ,6,702,1724,NA,9/12/2005
Colorado,DENVER,2/7/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,22,24,87,29.93,24.46,24,10.4,0,-7.1,41,28,19,250,19,0.14,3,2.3,250,16,SN FZFG BR HZ FG,NA,NA,NA,NA,NA,SOD75824 HR PRECIPITATION (IN): 0.14 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):2.3  WEATHER(CODE):128  24 HR MAX TEMP (F): 2824 HR MIN TEMP (F): 19AVERAGE STATION PRESSURE:24.460 MINIMUM SEA LEVEL PRESSURE:29.79 TIME OF OCCURRENCE:0124 PEAK WIND SPEED (MPH): 19 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.4 24 HR AVG TEMP (F): 24DEPART FROM NORMAL: -7  HEATING DEGREE DAYS: 41 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):28  LATEST NIGHT MIN TEMP(1900-0800 LST):23 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    T    0.00 0.00 T    0.01 0.01 0.02 0.02 0.03 0.01 0.02 T    T    0.00 T    T    0.01 T    0.01 T    T    0.00 0.00,SOD  ,6,701,1725,NA,9/12/2005
Colorado,DENVER,2/8/2020,SOD  ,6,39.84,-104.65,NA,,NA,,"SNOWFALL, SNOWDPTH",5350,NA,,39.85,-104.732,"DENVER INTL AIRPORT 4WNW, CO",NA,NA,NA,20,30,69,29.82,24.36,26,7.3,0,-1.2,35,47,13,20,28,0,3,0,30,22,,NA,NA,NA,NA,NA,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4724 HR MIN TEMP (F): 13AVERAGE STATION PRESSURE:24.355 MINIMUM SEA LEVEL PRESSURE:29.62 TIME OF OCCURRENCE:1541 PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG): 20 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG): 30 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.3 24 HR AVG TEMP (F): 30DEPART FROM NORMAL: -1  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):47  LATEST NIGHT MIN TEMP(1900-0800 LST):13 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,700,1726,NA,9/12/2005
